DATA SET,DATE,PLAYER,"OWN
TEAM","OPPONENT
TEAM","VENUE
(R/H)",MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO,BL,PTS
2013-2014 Regular Season,4/16/14,Meyers Leonard,Portland,LA Clippers,H,16.1,3,8,0,0,1,1,3,5,8,1,3,0,1,0,7
2013-2014 Regular Season,4/16/14,Allen Crabbe,Portland,LA Clippers,H,29.04,2,8,0,1,0,0,1,4,5,2,6,1,0,1,4
2013-2014 Regular Season,4/16/14,Victor Claver,Portland,LA Clippers,H,23.2,4,9,1,3,3,3,4,2,6,4,0,2,1,0,12
2013-2014 Regular Season,4/16/14,P.J. Tucker,Phoenix,Sacramento,R,16.69,0,4,0,1,2,2,0,4,4,0,0,1,1,0,2
2013-2014 Regular Season,4/16/14,Channing Frye,Phoenix,Sacramento,R,20.5,2,6,1,3,0,0,0,4,4,1,3,1,0,0,5
2013-2014 Regular Season,4/16/14,Miles Plumlee,Phoenix,Sacramento,R,12.55,1,3,0,0,0,0,1,1,2,0,0,0,1,1,2
2013-2014 Regular Season,4/16/14,Gerald Green,Phoenix,Sacramento,R,16.69,5,11,2,5,0,0,0,3,3,0,0,0,0,0,12
2013-2014 Regular Season,4/16/14,Eric Bledsoe,Phoenix,Sacramento,R,16.7,2,6,1,1,1,2,1,1,2,2,0,0,0,0,6
2013-2014 Regular Season,4/16/14,Markieff Morris,Phoenix,Sacramento,R,27.9,7,13,0,0,1,1,0,5,5,4,1,0,0,1,15
2013-2014 Regular Season,4/16/14,Alex Len,Phoenix,Sacramento,R,16.3,0,4,0,0,0,0,0,4,4,0,1,1,2,1,0
2013-2014 Regular Season,4/16/14,Ishmael Smith,Phoenix,Sacramento,R,27,4,7,0,1,0,0,0,2,2,8,1,1,1,1,8
2013-2014 Regular Season,4/16/14,Marcus Morris,Phoenix,Sacramento,R,31.32,7,15,2,4,6,8,1,5,6,0,5,2,1,0,22
2013-2014 Regular Season,4/16/14,Archie Goodwin,Phoenix,Sacramento,R,31.32,11,13,1,3,6,7,3,1,4,1,5,2,3,0,29
2013-2014 Regular Season,4/16/14,Shavlik Randolph,Phoenix,Sacramento,R,15.57,0,0,0,0,0,0,0,1,1,0,4,1,2,1,0
2013-2014 Regular Season,4/16/14,Dionte Christmas,Phoenix,Sacramento,R,7.49,1,4,1,2,0,2,1,2,3,0,1,0,0,0,3
2013-2014 Regular Season,4/16/14,Rudy Gay,Sacramento,Phoenix,H,16.12,3,8,0,1,0,0,1,5,6,2,1,0,1,0,6
2013-2014 Regular Season,4/16/14,Derrick Williams,Sacramento,Phoenix,H,30.57,3,8,0,2,1,2,0,3,3,1,1,1,0,1,7
2013-2014 Regular Season,4/16/14,Jason Thompson,Sacramento,Phoenix,H,21.15,4,9,0,0,0,0,1,10,11,0,1,1,2,1,8
2013-2014 Regular Season,4/16/14,Ben McLemore,Sacramento,Phoenix,H,42.34,9,20,3,9,10,15,0,5,5,5,1,1,2,0,31
2013-2014 Regular Season,4/16/14,Isaiah Thomas,Sacramento,Phoenix,H,16.7,2,5,0,3,0,0,0,0,0,4,2,0,2,1,4
2013-2014 Regular Season,4/16/14,Ray McCallum,Sacramento,Phoenix,H,31.3,5,12,0,0,3,4,0,2,2,2,2,1,3,0,13
2013-2014 Regular Season,4/16/14,Travis Outlaw,Sacramento,Phoenix,H,24.62,5,10,1,3,4,4,0,5,5,2,2,1,1,0,15
2013-2014 Regular Season,4/16/14,Quincy Acy,Sacramento,Phoenix,H,24.7,3,6,0,1,3,5,5,3,8,1,3,1,2,0,9
2013-2014 Regular Season,4/16/14,Jared Cunningham,Sacramento,Phoenix,H,6.49,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0
2013-2014 Regular Season,4/16/14,Aaron Gray,Sacramento,Phoenix,H,26.04,3,8,0,0,0,0,6,7,13,2,5,2,4,0,6
2014 Playoffs,4/19/14,Joe Johnson,Brooklyn,Toronto,R,44.5,8,13,0,1,8,8,0,8,8,4,2,2,2,0,24
2014 Playoffs,4/19/14,Paul Pierce,Brooklyn,Toronto,R,35.54,6,13,2,5,1,1,0,4,4,4,2,1,1,1,15
2014 Playoffs,4/19/14,Kevin Garnett,Brooklyn,Toronto,R,20.09,1,5,0,0,3,6,1,7,8,1,2,2,1,1,5
2014 Playoffs,4/19/14,Shaun Livingston,Brooklyn,Toronto,R,29.3,4,6,0,0,2,2,0,3,3,3,4,0,0,0,10
2014 Playoffs,4/19/14,Deron Williams,Brooklyn,Toronto,R,38.8,8,20,2,6,6,6,0,1,1,3,2,1,1,0,24
2014 Playoffs,4/19/14,Mason Plumlee,Brooklyn,Toronto,R,11.75,1,1,0,0,0,0,0,3,3,0,5,0,1,0,2
2014 Playoffs,4/19/14,Alan Anderson,Brooklyn,Toronto,R,18.75,3,7,0,3,0,0,1,1,2,1,0,2,1,0,6
2014 Playoffs,4/19/14,Mirza Teletovic,Brooklyn,Toronto,R,12.47,1,6,0,5,0,0,1,1,2,0,1,1,0,0,2
2014 Playoffs,4/19/14,Andray Blatche,Brooklyn,Toronto,R,16.17,2,5,0,0,1,2,4,2,6,0,1,0,1,0,5
2014 Playoffs,4/19/14,Marcus Thornton,Brooklyn,Toronto,R,12.65,0,4,0,4,1,2,0,0,0,0,0,0,0,0,1
2014 Playoffs,4/19/14,Terrence Ross,Toronto,Brooklyn,H,16.24,1,4,1,4,0,0,0,3,3,0,4,1,1,0,3
2014 Playoffs,4/19/14,Amir Johnson,Toronto,Brooklyn,H,21.47,1,2,0,0,0,0,1,2,3,0,2,0,1,0,2
2014 Playoffs,4/19/14,Jonas Valanciunas,Toronto,Brooklyn,H,35,7,13,0,0,3,4,5,13,18,2,3,0,6,2,17
2014 Playoffs,4/19/14,DeMar DeRozan,Toronto,Brooklyn,H,37.09,3,13,0,4,8,8,0,2,2,1,2,0,3,1,14
2014 Playoffs,4/19/14,Kyle Lowry,Toronto,Brooklyn,H,44.04,7,18,3,7,5,6,1,6,7,8,3,2,5,0,22
2014 Playoffs,4/19/14,John Salmons,Toronto,Brooklyn,H,13.32,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0
2014 Playoffs,4/19/14,Greivis Vasquez,Toronto,Brooklyn,H,29.22,5,11,3,5,5,5,0,4,4,8,4,0,1,0,18
2014 Playoffs,4/19/14,Patrick Patterson,Toronto,Brooklyn,H,26.3,4,8,1,2,0,0,1,4,5,2,1,0,0,1,9
2014 Playoffs,4/19/14,Tyler Hansbrough,Toronto,Brooklyn,H,6.7,0,0,0,0,2,2,0,1,1,1,1,0,0,0,2
2014 Playoffs,4/19/14,Nando De Colo,Toronto,Brooklyn,H,3.79,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0
2014 Playoffs,4/19/14,Steve Novak,Toronto,Brooklyn,H,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014 Playoffs,4/19/14,Chuck Hayes,Toronto,Brooklyn,H,6.32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014 Playoffs,4/19/14,Andre Iguodala,Golden State,LA Clippers,R,20.25,3,6,0,1,2,2,0,1,1,3,6,0,1,0,8
2014 Playoffs,4/19/14,David Lee,Golden State,LA Clippers,R,35.57,8,13,0,0,4,4,3,10,13,3,4,1,6,0,20
2014 Playoffs,4/19/14,Jermaine O'Neal,Golden State,LA Clippers,R,25.24,6,9,0,0,1,1,3,0,3,1,4,1,1,0,13
2014 Playoffs,4/19/14,Klay Thompson,Golden State,LA Clippers,R,41.12,7,20,4,7,4,6,2,5,7,5,4,0,4,1,22
2014 Playoffs,4/19/14,Stephen Curry,Golden State,LA Clippers,R,44.65,6,16,2,6,0,0,1,2,3,7,1,3,7,0,14
2014 Playoffs,4/19/14,Draymond Green,Golden State,LA Clippers,R,22.07,2,5,1,3,2,4,1,6,7,4,3,0,1,2,7
2014 Playoffs,4/19/14,Steve Blake,Golden State,LA Clippers,R,7.27,1,3,1,3,0,0,0,0,0,0,0,0,0,0,3
2014 Playoffs,4/19/14,Harrison Barnes,Golden State,LA Clippers,R,23.54,4,11,3,6,3,6,3,5,8,1,2,0,0,1,14
2014 Playoffs,4/19/14,Marreese Speights,Golden State,LA Clippers,R,13.55,3,5,0,0,0,0,2,3,5,1,3,0,0,1,6
2014 Playoffs,4/19/14,Jordan Crawford,Golden State,LA Clippers,R,4.65,0,2,0,1,2,2,0,0,0,0,0,0,0,0,2
2014 Playoffs,4/19/14,Hilton Armstrong,Golden State,LA Clippers,R,2.12,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0
2014 Playoffs,4/19/14,Ognjen Kuzmic,Golden State,LA Clippers,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014 Playoffs,4/19/14,Matt Barnes,LA Clippers,Golden State,H,23.09,0,3,0,1,2,2,2,1,3,3,4,0,1,0,2
2014 Playoffs,4/19/14,Blake Griffin,LA Clippers,Golden State,H,19.24,6,13,0,0,4,4,2,1,3,3,6,0,1,1,16
2014 Playoffs,4/19/14,DeAndre Jordan,LA Clippers,Golden State,H,44.97,4,5,0,0,3,8,5,9,14,0,3,2,7,5,11
2014 Playoffs,4/19/14,J.J. Redick,LA Clippers,Golden State,H,30.07,8,11,4,5,2,2,1,1,2,2,1,1,0,0,22
2014 Playoffs,4/19/14,Chris Paul,LA Clippers,Golden State,H,36.24,10,23,5,9,3,6,1,6,7,8,5,4,6,0,28
2014 Playoffs,4/19/14,Glen Davis,LA Clippers,Golden State,H,21.5,3,4,0,0,0,0,1,5,6,3,1,3,0,0,6
